"","Wavelength..nm.","Intensity","X","Y"
"2042",530.421377183967,4119.78221415608,530.421377183967,4119.78221415608
"2040",530.678314491264,4101.6333938294,530.678314491264,4101.6333938294
"2039",530.935251798561,4092.55898366606,530.935251798561,4092.55898366606
"2037",531.192189105858,4074.41016333938,531.192189105858,4074.41016333938
"2036",531.449126413155,4065.33575317604,531.449126413155,4065.33575317604
"2034",531.706063720452,4047.18693284936,531.706063720452,4047.18693284936
"2033",531.963001027749,4038.11252268603,531.963001027749,4038.11252268603
"2031",532.219938335046,4019.96370235935,532.219938335046,4019.96370235935
"2029",532.476875642343,4001.81488203267,532.476875642343,4001.81488203267
"2028",532.73381294964,3992.74047186933,532.73381294964,3992.74047186933
"2026",532.990750256937,3974.59165154265,532.990750256937,3974.59165154265
"2024",533.247687564234,3956.44283121597,533.247687564234,3956.44283121597
"2022",533.504624871531,3938.29401088929,533.504624871531,3938.29401088929
"2021",533.761562178828,3929.21960072595,533.761562178828,3929.21960072595
"2020",534.018499486125,3920.14519056261,534.018499486125,3920.14519056261
"2018",534.275436793422,3901.99637023593,534.275436793422,3901.99637023593
"2017",534.532374100719,3892.9219600726,534.532374100719,3892.9219600726
"2015",534.789311408016,3874.77313974592,534.789311408016,3874.77313974592
"2013",535.046248715313,3856.62431941924,535.046248715313,3856.62431941924
"2012",535.30318602261,3847.5499092559,535.30318602261,3847.5499092559
"2010",535.560123329907,3829.40108892922,535.560123329907,3829.40108892922
"2008",535.817060637205,3811.25226860254,535.817060637205,3811.25226860254
"2007",536.073997944502,3802.1778584392,536.073997944502,3802.1778584392
"2005",536.330935251799,3784.02903811252,536.330935251799,3784.02903811252
"2003",536.587872559096,3765.88021778584,536.587872559096,3765.88021778584
"2002",536.844809866393,3756.8058076225,536.844809866393,3756.8058076225
"2000",537.10174717369,3738.65698729583,537.10174717369,3738.65698729583
"1997",537.358684480987,3711.43375680581,537.358684480987,3711.43375680581
"1995",537.615621788284,3693.28493647913,537.615621788284,3693.28493647913
"1993",537.872559095581,3675.13611615245,537.872559095581,3675.13611615245
"1991",538.129496402878,3656.98729582577,538.129496402878,3656.98729582577
"1990",538.386433710175,3647.91288566243,538.386433710175,3647.91288566243
"1989",538.643371017472,3638.83847549909,538.643371017472,3638.83847549909
"1987",538.900308324769,3620.68965517241,538.900308324769,3620.68965517241
"1986",539.157245632066,3611.61524500907,539.157245632066,3611.61524500907
